"Adipose_Subcutaneous" "Adipose_Visceral_Omentum" "Adrenal_Gland" "Artery_Aorta" "Artery_Coronary" "Artery_Tibial" "Brain_Anterior_cingulate_cortex_BA24" "Brain_Caudate_basal_ganglia" "Brain_Cerebellar_Hemisphere" "Brain_Cerebellum" "Brain_Cortex" "Brain_Frontal_Cortex_BA9" "Brain_Hippocampus" "Brain_Hypothalamus" "Brain_Nucleus_accumbens_basal_ganglia" "Brain_Putamen_basal_ganglia" "Breast_Mammary_Tissue" "Cells_EBV.transformed_lymphocyte" "Cells_Transformed_fibroblast" "Colon_Sigmoid" "Colon_Transverse_" "Esophagus_Gastroesophageal_Junction" "Esophagus_Mucosa" "Esophagus_Muscularis" "Heart_Atrial_Appendage" "Heart_Left_Ventricle" "Liver" "Lung_" "Muscle_Skeletal" "Nerve_Tibial" "Ovary" "Pancreas" "Pituitary" "Prostate" "Skin_Not_Sun_Exposed_Suprapubic" "Skin_Sun_Exposed_Lower_leg" "Small_Intestine_Terminal_Ileum" "Spleen" "Stomac" "Testis" "Thyroid" "Uterus" "Vagina" "Whole_Blood"
"ENSG00000007923.11_rs7542411" -0.498783763478649 -0.411460124784463 -0.0521407132154847 -0.202177131203353 -0.272832034825829 -0.457592327361886 0.251354957304823 0.250628817339012 0.262756088019966 0.0495132969584823 0.295897940806184 0.287871113611015 0.207593737170882 0.055804980278612 0.221490765075694 0.120645492415039 -0.261260173638807 0.0396215381892057 0.564042273433294 -0.497144128981131 -0.234695283614215 -0.507069409830784 -0.242732997686429 -0.516745412851759 -0.11866777713934 -0.063232923548423 -0.1015232842447 -0.277063952831655 -0.136081187995856 -0.612112691446961 -0.0982804964256721 -0.0632147121676128 0.0845072542745998 -0.0698055192616036 -0.183615488847758 -0.27628349422035 0.060183527731673 -0.154316081090568 -0.172772769807363 -0.0146002178557249 -0.349283745678169 -0.191208700971077 -0.242409889937498 -0.0369333023185609
"ENSG00000008128.18_rs28487995" 3.93422850095362 2.62881860897794 2.52796603664126 3.02431175118805 2.16253879387132 3.41826283425722 0.609249985308604 0.8301402893744 0.946906669630676 1.34190248668631 1.06383151995569 0.762401965928302 0.670152485876835 0.744735417494772 0.72183102691025 0.686827895284618 2.65130456152764 2.10447116392553 2.8138579899275 2.41510929167505 2.61136329162741 2.524503028205 3.19739792383764 3.33924945912633 2.33057520209585 2.26843478764166 1.6497971058889 3.15803656501083 2.77397176511737 3.71904919943882 1.94814743221645 2.39727135318041 1.82345352155821 1.96652267969732 3.31655764159041 4.04684824212433 1.71430369915878 2.29590784483704 2.44056033118418 2.59046856947646 3.71635940017431 1.72964516292965 1.79381578968932 1.95952251154942
"ENSG00000008130.11_rs116018620" -1.96368202702893 -0.890665256658593 -0.689463492354565 -1.5977123322245 -1.32733428307196 -1.83730915160365 0.141713963709866 0.0628854944146608 -0.110312075963631 -0.43774729512977 -0.200292102757464 -0.0770501132393012 0.141071727127731 -3.59660922882274e-05 0.13532247448849 0.0710991581177716 -0.944989022084189 0.0667423898011693 -0.795088641921613 -0.742654678767854 -0.517546346850137 -1.02619805891678 -0.846824151971269 -1.41243270038886 -0.824534212296089 -0.756481904043569 -0.227571928792819 -0.849184018958065 -1.07101952933081 -1.82510512832352 -0.850083736581912 -0.532864797427878 -0.634407112983615 -0.627033363098971 -0.522690803404422 -0.879294620589426 -0.223747148353395 -0.144007983076692 -0.496522481234142 -0.0108584525306484 -1.17236316659201 -0.806314949671798 -0.729947806112525 0.0331001870390114
"ENSG00000009724.12_chr1_11085652_D" -1.09042463225674 -0.961577143030048 -1.01548991030407 -0.825943682933563 -0.744565102483271 -0.55964601612061 0.628532986062269 0.880420689479322 0.489542029600046 0.312183409368285 0.652152749778774 0.721921052450403 0.559040436569232 0.454223891186533 0.645763522151491 0.773184514404008 -0.873144508636206 -1.72320648521621 -1.03037468535216 -0.620992752045688 -1.29283532739589 -0.658732157064804 -1.24496332682348 -0.921434910807669 -0.414223759281767 -0.58806753401038 -0.724059976313498 -1.42054370333509 -0.247726446344503 -0.747923266621496 -0.648034995247297 -1.09865252611405 -0.393185679175186 -0.694883661061025 -0.0977486711431146 -0.217826133043537 -1.04028859640187 -1.63608796935313 -1.19211658065474 -0.125010655231877 -1.3301965633663 -0.541456316685321 -0.573391517786139 -1.93991281575125
"ENSG00000011021.17_rs198359" -1.12538876070105 -0.494655599707556 -1.03784621533778 -0.696581981832303 -0.565856661691627 -0.754634612334538 -0.717212449001123 -0.996793304267531 -1.50022671541495 -1.98443671872175 -1.05980731841471 -0.731590739369713 -0.827792354133384 -0.838620931727666 -0.739289391126937 -0.755399369897547 -0.799533274492064 -0.296684343679711 -0.871828866948162 -0.470653939216023 -0.750994506472871 -0.412278064761809 -1.18110033712645 -0.758169652702798 -0.676465612331632 -0.572673941881115 -0.41799165048067 -1.13273192742369 -0.973652023568404 -1.14576287347943 -0.496299299016231 -0.555433580076254 -1.23982541255106 -0.768062964507858 -1.02680655361521 -1.20888108887031 -0.55637320159757 -0.792111213753356 -0.678775740290868 -3.51972511879368 -1.52882468114769 -0.410882193878066 -0.81482783243322 -0.856797284051929
"ENSG00000028137.12_rs1148472" -0.752305762424328 -0.0355213069589899 -0.162141584887024 0.441676377581368 0.223677934382603 0.0262103292728566 -0.46682801516931 -0.874777755146118 -0.959666412521779 -1.08158910056892 -0.787877018581039 -0.889058438140733 -0.585860279730287 -0.890865809549501 -0.757244111236666 -0.6004337822789 -0.674532743152473 0.0555833414289669 -0.309553230294278 -0.184826104143021 -0.201114607281382 -0.138738467223495 -0.124498258473839 -0.228716726130865 -0.353621896701987 -0.0916536894454613 0.15615216322899 -0.580771231487207 -0.100711057608231 -0.645104592275277 -0.618543468560653 0.201176637033015 -0.683264863987178 -0.260734905643777 -0.665627453125476 -1.07175750395566 -0.0872293298776817 0.308290599618159 -0.12551111527522 -0.612249654908978 -1.84870545263368 -0.406180964418743 -0.440943392162231 0.475872168138081
"ENSG00000037637.6_rs72638015" 1.40797155785521 1.08132229819025 1.30706292634566 1.21579943718105 0.849735551890067 1.21203897723207 0.583442304977905 0.647476561837939 0.812642955518027 1.10339024719306 0.774355753439355 0.5842996771307 0.506160402744461 0.605160108095794 0.591688909243149 0.565597849661071 1.08657267666428 0.687769140245372 1.03060622676838 1.04647688175867 1.14625390270246 1.06666881010916 1.03313611529823 1.41545571242174 1.07091577281885 1.02890954793421 0.677678931871195 1.21240335139825 1.09603358509384 1.50083712723943 0.876320205542914 1.03331820189794 1.0574731749681 0.888754749268691 0.628717873084267 0.755128507312869 0.733025513637945 1.18599175614069 1.04293054052865 2.96070439074524 1.61487036396394 0.67409094041072 0.704962220633753 0.748961930047146
"ENSG00000041988.11_rs12127219" 3.50099966872407 2.09903358359698 2.13033067293545 2.95582108082749 2.005754022598 3.48157439043738 1.38338756378749 1.56567347928453 1.54107139317326 1.93933262133889 1.817273027148 1.61892880472692 1.19259272755843 1.16859313454527 1.42504983190714 1.2739472556697 2.25383692466919 0.917544913271661 2.25661782908868 2.12050023729854 1.90494162743737 2.31607278195141 1.95124254107674 3.16129188701235 2.16339403596215 2.10428505135819 1.21020673284154 2.5924171361786 2.82533805954414 3.29206820255534 1.6359760030526 1.80027122111156 1.77949759030422 1.38419549390674 1.9564189188541 2.70813998833021 1.09995878226954 1.509173257281 1.82236135749479 0.386055084442974 3.05583109827801 1.49096167085738 1.28641682590262 0.949434777446375
"ENSG00000048707.9_rs1148458" -0.249106299314983 -0.159850348404364 -0.555370735300058 -0.263946722185617 -0.131467516019511 -0.11010491191122 -0.794426968091724 -0.902453004147123 -0.895786822089615 -1.05284903987585 -0.930608708564712 -0.853909030476391 -0.683692433511795 -0.655347863639577 -0.894878005337084 -0.776350223663671 -0.208620121921689 -0.558750396653094 -0.549031603363606 -0.335415387746847 -0.464317099966014 -0.325325688469794 -0.454836297317932 -0.391821538524435 -0.329572901165271 -0.282817678581454 -0.367003307204012 -0.452137261182468 -0.189124440344878 -0.388193640159576 -0.0417447914494847 -0.445115024489682 -0.93715987296227 -0.453530026727483 -0.0356209695171497 -0.0463076976546073 -0.278918301603872 -0.491833834897297 -0.401913371169579 -2.37211537110267 -0.727309124027008 -0.0318965860634937 -0.147999065772296 -0.369800349860231
"ENSG00000049239.8_rs2268175" -1.99940809384327 -1.60789394311801 -0.0584618560888139 -2.06686264539068 -1.18374817533878 -1.87440923115554 -0.558218241267783 -1.02258712264696 -5.13069609107322 -6.59521037721168 -2.13568047602703 -1.41690785255016 -0.765703337521653 -0.995591178158727 -1.83379694330974 -1.92146830060921 -0.516155565617299 -2.22312400877811 -4.26144488014386 -2.88001101552581 -3.50557047463521 -3.63547096478193 -3.21411650555259 -3.61109466392109 -3.10226826796172 -2.40387321414704 -0.554564666373918 -3.49473893565724 -1.96080223167651 -1.10911354559808 -0.47108974335295 -0.125678020894066 0.104713701471647 -0.9979163132495 -0.0893009843850135 -0.384036602365459 -2.19216838887553 -2.10293435012958 -0.956931060903974 -0.947880333442922 -1.67226583597599 -1.34262378198606 -1.9055606077107 -1.08424142380176
